
[asn.txt]                                        2008-12-14 03:45:01Z

This file contains a list of autonomous system numbers and names of all
registered ASNs.  The column on the right below contains the ARIN
database "handle" of the technical, abuse or NOC contacts for the ASN.  
Additional information may be obtained about any of the ASN contacts
in this list by querying the ARIN WHOIS server.  For questions or updates 
on this information please contact the ARIN Registration Services Hostmaster 
staff, HOSTMASTER@ARIN.NET.

AS Number               AS Name                                            POC Handles
 4063                    ELCSCI-ASN                                         CL162-ARIN (Tech)
 4064                    ALERON-4064                                        IPALL-ARIN (Tech), COGEN-ARIN (Abuse)
 4065-4125               APPOC                                              BETHA2-ARIN (Tech)
 4126                    SPTEL2                                             MC239-ARIN (Tech)
 4127                    DUPONT-SCD                                         NMM-ARIN (Tech)
 4128                    RG-SPARE                                           RB366-ARIN (Tech)
 4129                    WIRED-NET                                          NETWO1939-ARIN (Tech)
 4130                    UPITT-AS                                           ABUSE385-ARIN (Abuse), JAK12-ARIN (Tech)
 4131                    USIS-AS                                            MNB-ARIN (Tech)
 4132                    ALERON-4132                                        IPALL-ARIN (Tech), COGEN-ARIN (Abuse)
 4133                    BITWISE                                            JL237-ARIN (Tech)
 4134                    APNIC-4134                                         AWC12-ARIN (Tech)
 4135                    ENVISIONET                                         AH106-ARIN (Tech)
 4136                    GLOBIX-AS                                          GCH2-ARIN (Tech), ABUSE1735-ARIN (Abuse), NOC2711-ARIN (Tech)
 4137                    DIRECTNET                                          MK134-ARIN (Tech)
 4138                    REACH                                              TS246-ARIN (Tech)
 4139                    INTERSRV                                           RG102-ARIN (Tech)
 4140                    INMIND                                             SS883-ARIN (Tech)
 4141                    LACNIC-4141                                        LACNIC-ARIN (Tech)
 4142                    APNIC-4142                                         AWC12-ARIN (Tech)
 4143                    UNIBASE                                            LC64-ARIN (Tech)
 4144                    INTERGUIDE                                         OSM1-ARIN (Tech)
 4145                    FRITZNET                                           RS6112-ARIN (Tech)
 4146                    TACH-NET                                           IB5-ARIN (Tech)
 4147                    AFLOAT-MED                                         KW41-ARIN (Tech), MIL-HSTMST-ARIN (Tech)
 4148                    RIPE-ASNBLOCK-4148                                 
 4149                    UCCS-II                                            MM361-ARIN (Tech)
 4150                    SUPRANET-WIS                                       SAC31-ARIN (Abuse), STC1-ARIN (Tech)
 4151-4157               USDA-1                                             ZU20-ARIN (Tech), SECUR27-ARIN (Abuse)
 4158                    APNIC-4158                                         AWC12-ARIN (Tech)
 4159                    ONEWORLD-AS-1                                      JC493-ARIN (Tech)
 4160                    SPECTRA                                            HS2-ORG-ARIN (Tech)
 4161-4164               TIN-1                                              JAMES23-ARIN (Tech), TIMAM1-ARIN (Tech)
 4165                    DISASD                                             TL50-ARIN (Tech), MIL-HSTMST-ARIN (Tech)
 4166                    APPL-AS-4166                                       NDA5-ARIN (Tech), HOSTM2-ARIN (Tech)
 4167                    CONNECTSOFT-COM                                    
 4168                    GULFSTAR                                           EM78-ARIN (Tech)
 4169                    ECHNET                                             BJ38-ARIN (Tech)
 4170                    DIA-HOCNET                                         MIL-HSTMST-ARIN (Tech)
 4171                    EUROGRAFIX                                         SJ64-ARIN (Tech)
 4172                    WAYNESBURG                                         PMA49-ARIN (Abuse), MFO46-ARIN (Tech)
 4173                    WATER                                              RA77-ARIN (Tech)
 4174-4175               APNIC-4174                                         AWC12-ARIN (Tech)
 4176                    PGH-NET                                            ED13-ARIN (Tech)
 4177                    WORLTEK                                            AA45-ARIN (Tech)
 4178                    AFRINIC-ASNBLOCK-4178                              GENER11-ARIN (Abuse)
 4179                    CITY-OF-LA                                         DK184-ARIN (Tech)
 4180                    CHAPUB                                             FM50-ARIN (Tech)
 4181                    TDS-AS                                             KR181-ARIN (Tech), ABUSE163-ARIN (Abuse), SERVI6-ARIN (Tech)
 4182                    RE-INFOLINK                                        HOSTM569-ARIN (Tech)
 4183                    UUNET-MCIWCOM                                      HC3-ORG-ARIN (Tech), ABUSE3-ARIN (Abuse), SWIPP-ARIN (Tech)
 4184                    STORTEK-WHQ                                        KJS12-ARIN (Tech), JW151-ARIN (Tech)
 4185                    AADS-INDY                                          MDS22-ARIN (Tech)
 4186                    AADS-SAGINAW                                       MDS22-ARIN (Tech)
 4187                    INFOBAHN                                           ES84-ARIN (Tech)
 4188                    GILBARCO-AS                                        RICKA-ARIN (Tech), JEL10-ARIN (Tech)
 4189                    OSSHENET1                                          PK104-ARIN (Tech)
 4190                    BINGHAMTON-U                                       ABUSE492-ARIN (Abuse), MPH24-ARIN (Tech)
 4191                    STORTEK-NAT                                        KJS12-ARIN (Tech), JW151-ARIN (Tech)
 4192                    STORTEK-INT                                        KJS12-ARIN (Tech), JW151-ARIN (Tech)
 4193                    WA-STATE-GOV                                       LR421-ARIN (Tech)
 4194                    SDINTERNET                                         TS236-ARIN (Tech)
 4195                    SHAW                                               SHAW-DNS-ARIN (Tech), SYSTE95-ARIN (Tech)
 4196                    AS4196                                             ZW100-ARIN (Abuse)
 4197                    APNIC-4197                                         AWC12-ARIN (Tech)
 4198                    RADIXNET                                           NOC48-ORG-ARIN (Tech)
 4200                    ALERON-4200                                        IPALL-ARIN (Tech), COGEN-ARIN (Abuse)
 4201                    ORST-AS                                            BA26-ARIN (Tech), WM1443-ARIN (Tech)
 4202                    APNIC-4202                                         AWC12-ARIN (Tech)
 4203                    TGF-TIS                                            JM532-ARIN (Tech)
 4204                    ALLWARE-AS                                         JD224-ARIN (Tech)
 4206                    INMS                                               BGPAD3-ARIN (Tech)
 4207                    NET-INTRNET                                        DE90-ARIN (Tech)
 4208                    THE-ISERV-COMPANY                                  INE-ARIN (Tech)
 4209                    LACNIC-4209                                        LACNIC-ARIN (Tech)
 4210                    Y                                                  SHAW-DNS-ARIN (Tech), SYSTE95-ARIN (Tech)
 4211                    ASN-MARICOPA1                                      JA117-ARIN (Tech)
 4212                    EMBARQ-ES                                          DOMAI131-ARIN (Tech)
 4214-4221               NAPLESCLIN                                         SS168-ARIN (Tech), MIL-HSTMST-ARIN (Tech)
 4222                    LEN-NET                                            DMM65-ARIN (Tech)
 4223                    CONNIX                                             JH197-ARIN (Tech)
 4224                    CALYX-AS                                           NM60-ARIN (Tech)
 4225                    NAV-AS                                             ET28-ARIN (Tech)
 4226                    ASN-PERSIS                                         MG183-ARIN (Tech)
 4227                    TCCGI-AS                                           BW111-ARIN (Tech)
 4228                    CDFA-CA-GOV                                        PA72-ARIN (Tech)
 4229                    DIRECT-NET2                                        WSC3-ARIN (Tech)
 4230                    LACNIC-4230                                        LACNIC-ARIN (Tech)
 4232                    EDEN-AS                                            KT46-ARIN (Tech)
 4233                    DWRSCADA                                           LT16-ARIN (Tech)
 4234                    CT-WCC                                             RF151-ARIN (Tech)
 4235                    DGS-2                                              JDW4-ARIN (Tech)
 4236                    CITIZENS-AS                                        BP96-ARIN (Tech)
 4237                    CSC-IGN-FTW                                        CC1391-ARIN (Tech), BM1480-ARIN (Tech)
 4238                    TX-TREASNET                                        GC116-ARIN (Tech)
 4239                    ATCW-AS                                            XCNV-ARIN (Abuse), XCIA-ARIN (Tech)
 4240                    NJNET-AS                                           WC58-ARIN (Tech)
 4241                    CSFTB                                              MCA236-ARIN (Tech)
 4242                    LACNIC-4242                                        LACNIC-ARIN (Tech)
 4243                    NC-FUNB-AS                                         DOMAI94-ARIN (Tech)
 4244                    LACNIC-4244                                        LACNIC-ARIN (Tech)
 4245                    ECHO-AS                                            SH8-ARIN (Tech)
 4246                    NJIT-AS                                            FGA8-ARIN (Tech)
 4247                    CAPCON-AS                                          JH255-ARIN (Tech)
 4248                    CYBERTRIBE                                         BB34-ARIN (Tech)
 4249                    LILLY-AS                                           AH366-ARIN (Tech)
 4250                    ALENT-ASN-1                                        ABUSE1852-ARIN (Abuse), TECH280-ARIN (Tech)
 4251                    APNIC-4251                                         AWC12-ARIN (Tech)
 4252                    GMS-AS                                             JSS-ARIN (Tech)
 4253                    RWJNET                                             MZ32-ARIN (Tech)
 4254                    PICA-ISAN                                          TMC8-ARIN (Tech), MIL-HSTMST-ARIN (Tech)
 4255                    BAIN                                               RN101-ARIN (Tech)
 4256                    INTERGATE-GW                                       
 4257                    CYBERCASH-AS                                       RO48-ARIN (Tech)
 4258                    WOLFENET                                           IA102-ARIN (Abuse), NET-ARIN (Tech)
 4259                    IOCOM                                              IDK5-ARIN (Tech)
 4260                    DCCI-AS                                            JD194-ARIN (Tech)
 4261                    BLUEGRASSNET                                       TG41-ARIN (Tech)
 4262-4269               CERNET-ASN-BLOCK                                   PM200-ARIN (Tech)
 4270                    LACNIC-4270                                        LACNIC-ARIN (Tech)
 4271                    WORX                                               KH119-ARIN (Tech)
 4272                    MDN                                                JD71-ARIN (Tech)
 4273                    JSC-NET-ASN                                        EE27-ARIN (Tech)
 4274                    APNIC-4274                                         AWC12-ARIN (Tech)
 4275                    CLIPPER                                            AC140-ARIN (Tech)
 4276                    INCH                                               HOS49-ORG-ARIN (Tech)
 4277                    SEMBLER-STPETE                                     AFA10-ARIN (Tech), CWE30-ARIN (Tech), WMA16-ARIN (Tech)
 4278                    IADFW                                              II14-ARIN (Tech), IAPET-ARIN (Abuse)
 4279                    INTERSOURCE                                        JN2-ORG-ARIN (Tech), NA57-ARIN (Tech)
 4281-4285               SAVVIS                                             UIAA-ARIN (Tech), ABUSE11-ARIN (Abuse)
 4286                    MCI-WORLD                                          TB202-ARIN (Tech), ABUSE3-ARIN (Abuse), SWIPP-ARIN (Tech)
 4287-4298               SAVVIS                                             UIAA-ARIN (Tech), ABUSE11-ARIN (Abuse)
 4299-4301               JSC-NET-ASN2                                       EE27-ARIN (Tech)
 4302                    BUPERSLAN                                          DG38-ARIN (Tech), MIL-HSTMST-ARIN (Tech)
 4303                    DDN-S-AS                                           MIL-HSTMST-ARIN (Tech)
 4304                    YPN-NET                                            SN48-ARIN (Tech)
 4305                    PREMIER                                            BG141-ARIN (Tech)
 4306                    NOVIA                                              NO22-ARIN (Tech), TF81-ARIN (Tech)
 4307                    SVINET-1                                           RB148-ARIN (Tech), RE30-ARIN (Abuse)
 4308                    TEZCAT-ASN                                         JAK8-ARIN (Tech)
 4309                    FRMCO                                              ZF32-ARIN (Tech)
 4311                    WINC                                               TR85-ARIN (Tech)
 4312                    FYI                                                SL984-ARIN (Tech)
 4313                    XOXO-AS4313                                        XCNV-ARIN (Abuse), XCIA-ARIN (Tech)
 4314                    XFONE-ASN1                                         XFONE-ARIN (Abuse), IA-ORG-ARIN (Tech)
 4315                    STACCS-A                                           MW224-ARIN (Tech), MIL-HSTMST-ARIN (Tech)
 4316                    DSI-CUST-BLK                                       TH190-ARIN (Tech)
 4318                    FMI-NET-AS                                         DJM13-ARIN (Tech)
 4319                    CORTLAND                                           ML144-ARIN (Tech)
 4320                    TASA-GW                                            BN46-ARIN (Tech)
 4321                    INSINC2                                            RR57-ARIN (Tech)
 4322                    EBTECH                                             JW254-ARIN (Tech)
 4323                    TWTC                                               IT65-ARIN (Tech), TWTAD-ARIN (Abuse), NST12-ARIN (Tech)
 4324                    WHC-NET                                            WAC17-ARIN (Abuse), FJW-ARIN (Tech)
 4325                    PWCYOKO                                            ECM5-ARIN (Tech), MIL-HSTMST-ARIN (Tech)
 4326                    TNTONLINE                                          LC99-ARIN (Tech)
 4327                    SNA-NET                                            AW139-ARIN (Tech)
 4328-4351               STACCS-A1-24                                       MW224-ARIN (Tech)
 4352                    APNIC-4352                                         AWC12-ARIN (Tech)
 4353                    WNET-AS                                            SN95-ARIN (Tech)
 4355                    ERMS-EARTHLNK                                      DAE4-ARIN (Tech), ABUSE60-ARIN (Abuse), ELNK-ORG-ARIN (Tech)
 4356                    RICOCHET-4356                                      CV243-ARIN (Tech)
 4357                    PHASE4-RO                                          SA49-ARIN (Tech)
 4358                    XNET                                               XDA-ORG-ARIN (Tech)
 4359                    DIGIPRESS-AS                                       AR107-ARIN (Tech)
 4360                    AGNES-SCOTT                                        SN49-ARIN (Tech)
 4361                    PCIX-AS                                            CNSOP-ARIN (Tech)
 4362                    DIGITOPIA-AS                                       MR247-ARIN (Tech)
 4363                    ALPHA-BETA                                         CN51-ARIN (Tech)
 4364                    IGLOU                                              DB516-ARIN (Tech), IAD10-ARIN (Abuse), BMH8-ARIN (Tech), NO103-ARIN (Tech)
 4365                    DIGITAL-CAFE-ASN                                   CT95-ARIN (Tech)
 4366                    GE-AMC                                             GET2-ORG-ARIN (Tech)
 4367                    SECSTATE-CA-GOV                                    FD28-ARIN (Tech)
 4368                    CRCNET                                             GJY-ARIN (Tech)
 4369                    IQUEST-ASN                                         MM178-ARIN (Tech)
 4370                    TELERES-NET                                        EM52-ARIN (Tech)
 4371                    FEMA-GOV                                           DR193-ARIN (Tech)
 4372                    NET-LM                                             TD-ORG-ARIN (Tech), DLU47-ARIN (Tech)
 4373                    OCLC-AS                                            ANS-NOC-ARIN (Tech)
 4374                    NEEDHIGHSPEED                                      NHSAR1-ARIN (Tech)
 4375                    KEY                                                CO27-ARIN (Tech)
 4376                    DSW-INET                                           PK68-ARIN (Tech)
 4377                    SSSI-NETS                                          AB5201-ARIN (Tech)
 4378                    HOSTINGCOM                                         ABUSE733-ARIN (Abuse), NOCAR-ARIN (Tech)
 4379                    SIPRNCC                                            BSL5-ARIN (Tech), MIL-HSTMST-ARIN (Tech)
 4380                    USACAA-NET1                                        DAH8-ARIN (Tech), MIL-HSTMST-ARIN (Tech)
 4381-4382               APNIC-4381                                         AWC12-ARIN (Tech)
 4383                    NAIC                                               JAMES23-ARIN (Tech), TIMAM1-ARIN (Tech)
 4384                    MULTI-NET                                          DL76-ARIN (Tech)
 4385                    RIT-ASN                                            ZR58-ARIN (Tech), ABUSE87-ARIN (Abuse), NETWO58-ARIN (Tech)
 4386                    OSPASN                                             PJP10-ARIN (Tech), SJH2-ARIN (Tech)
 4387                    LACNIC-4387                                        LACNIC-ARIN (Tech)
 4388                    ALERON-4388                                        IPALL-ARIN (Tech), COGEN-ARIN (Abuse)
 4389                    DATASERVE-AS                                       AM581-ARIN (Tech)
 4390                    BELLATLANTIC-COM                                   BM278-ARIN (Tech)
 4391                    BRI-NET                                            DC205-ARIN (Tech)
 4392                    CROWN-NET                                          DB443-ARIN (Tech)
 4393                    PATHFINDER                                         ATC20-ARIN (Tech)
 4394-4404               DSI-CUST-BLK2                                      TH190-ARIN (Tech)
 4405-4430               RIPE-ASBLOCK-4405                                  
 4431                    APNIC-4431                                         AWC12-ARIN (Tech)
 4432                    CSTONE-NET                                         MD16-ARIN (Tech)
 4433-4434               APNIC-4433                                         AWC12-ARIN (Tech)
 4435                    INCH-AS-1                                          HE14-ARIN (Tech)
 4436                    AS-NLAYER                                          NAD4-ARIN (Abuse), INE1-ARIN (Tech)
 4437                    WEBB                                               CW59-ARIN (Tech)
 4438                    NEPTUNE                                            BF96-ARIN (Tech)
 4439                    IMEFDJOSS                                          PR140-ARIN (Tech)
 4440                    IIIMEFDJOSS                                        PR140-ARIN (Tech)
 4441                    MARFORPACDJOSS                                     PR140-ARIN (Tech)
 4442                    TRACWS                                             JTB6-ARIN (Tech), MIL-HSTMST-ARIN (Tech)
 4444                    CISNET-AS                                          TK169-ARIN (Tech)
 4445                    CWI-AS                                             ABUSE660-ARIN (Abuse), DLE137-ARIN (Tech), DSA95-ARIN (Tech), MWA122-ARIN (Tech), RSM86-ARIN (Tech), SAM67-ARIN (Tech), TCR3-ARIN (Tech)
 4446                    INFINET-ASN                                        MB445-ARIN (Tech)
 4447                    HOOKED-AS                                          DH102-ARIN (Tech)
 4448                    OPEN-ACCESS-AS                                     JH281-ARIN (Tech)
 4449                    ASN-GALSTAR                                        ML89-ARIN (Tech)
 4450                    WEBNET                                             NF14-ARIN (Tech)
 4452                    AMERICA                                            RS120-ARIN (Tech)
 4453                    TDS-TELECOM                                        KR181-ARIN (Tech), ABUSE163-ARIN (Abuse), SERVI6-ARIN (Tech)
 4454                    TNET-AS                                            IM-ORG-ARIN (Tech)
 4455                    RICOCHET-4455                                      CV243-ARIN (Tech)
 4456                    GSNET-NETS                                         RDP-ARIN (Tech)
 4457-4458               RIPE-ASNBLOCK-4457                                 
 4459                    KDDIA-NET                                          KAIIN-ARIN (Tech)
 4460                    RVCC                                               CR549-ARIN (Tech), MMU63-ARIN (Tech)
 4461                    OPUSTEL-AS                                         PW119-ARIN (Tech)
 4462                    NDLINK                                             AH29-ARIN (Tech), HB38-ARIN (Tech)
 4463                    ONET3-DOM                                          BD185-ARIN (Tech)
 4464                    TWNAO-AS                                           BF144-ARIN (Tech)
 4465                    EASYLINK1                                          BA128-ARIN (Tech), ATTAB-ARIN (Abuse), ICC-ARIN (Tech), IPSWI-ARIN (Tech)
 4466                    EASYLINK2                                          BA128-ARIN (Tech), ATTAB-ARIN (Abuse), ICC-ARIN (Tech), IPSWI-ARIN (Tech)
 4467                    EASYLINK3                                          BA128-ARIN (Tech), ATTAB-ARIN (Abuse), ICC-ARIN (Tech), IPSWI-ARIN (Tech)
 4468                    EASYLINK4                                          BA128-ARIN (Tech), ATTAB-ARIN (Abuse), ICC-ARIN (Tech), IPSWI-ARIN (Tech)
 4469                    MATROX-AS                                          MIR8-ARIN (Tech)
 4470                    ASN-CITENET                                        RM329-ARIN (Tech)
 4471                    MICAE91-AS                                         NE4-ARIN (Tech)
 4472                    IONET                                              LEC2-ARIN (Tech)
 4473                    AADS-MI-UP                                         MDS22-ARIN (Tech)
 4477                    BBDATA                                             MB497-ARIN (Tech)
 4478                    PNET-STL                                           RR214-ARIN (Tech)
 4479                    JTM                                                TM262-ARIN (Tech)
 4480                    EMTF-RMAIN                                         JAMES23-ARIN (Tech), TIMAM1-ARIN (Tech)
 4481                    EMTF-SEM                                           JAMES23-ARIN (Tech), TIMAM1-ARIN (Tech)
 4482                    EMTF-GEIL                                          JAMES23-ARIN (Tech), TIMAM1-ARIN (Tech)
 4483                    EMTF-SPANG                                         JAMES23-ARIN (Tech), TIMAM1-ARIN (Tech)
 4484                    EMTF-BIT                                           JAMES23-ARIN (Tech), TIMAM1-ARIN (Tech)
 4485                    EMTF-RAMDEN                                        JAMES23-ARIN (Tech), TIMAM1-ARIN (Tech)
 4486                    EMTF-RAM                                           JAMES23-ARIN (Tech), TIMAM1-ARIN (Tech)
 4487                    EMTF-UPW                                           JAMES23-ARIN (Tech), TIMAM1-ARIN (Tech)
 4488                    EMTF-CRO                                           JAMES23-ARIN (Tech), TIMAM1-ARIN (Tech)
 4489                    EMTF-MOL                                           JAMES23-ARIN (Tech), TIMAM1-ARIN (Tech)
 4490                    EMTF-LAK                                           JAMES23-ARIN (Tech), TIMAM1-ARIN (Tech)
 4491                    MULTIPRO                                           JS704-ARIN (Tech)
 4492                    COMMSPEED1                                         ABUSE1184-ARIN (Abuse), MIKEA6-ARIN (Tech), NOC2119-ARIN (Tech)
 4493                    LACNIC-4493                                        LACNIC-ARIN (Tech)
 4494                    INTERBYTES                                         TW73-ARIN (Tech)
 4495                    TERRAPORT                                          PT715-ARIN (Tech)
 4496                    UUCOM-AS                                           CCG10-ARIN (Tech)
 4497                    UPSTEL-NET                                         DG218-ARIN (Tech), DGO24-ARIN (Tech)
 4498                    GLOBALONE                                          JM655-ARIN (Tech)
 4499                    WEBNET-ASN                                         NF14-ARIN (Tech)
 4500                    NET-TIVOLI                                         IT24-ARIN (Tech)
 4501                    MICAE91-MICA                                       NE4-ARIN (Tech)
 4502                    CINCOM-MRS                                         MD303-ARIN (Tech), JIMGA-ARIN (Tech)
 4503                    EGINTERLINK                                        CD159-ARIN (Tech)
 4504                    GSASNETXGW                                         SJC4-ARIN (Tech)
 4506                    SEW-AS                                             LA42-ARIN (Tech)
 4507                    ASN-SUDRCSS-NET                                    DR80-ARIN (Tech)
 4509-4510               MAGMA-AS4509-AS4510                                REG5-ORG-ARIN (Tech)
 4511                    MIAMI-EDU                                          BA986-ARIN (Tech)
 4512                    PCWNET                                             JW395-ARIN (Tech)
 4513                    INTERNAP-4513                                      IAC3-ARIN (Abuse), INO3-ARIN (Tech)
 4515                    APNIC-4515                                         AWC12-ARIN (Tech)
 4516                    TRENDLINE                                          AS335-ARIN (Tech)
 4517                    VOLANT                                             JA113-ARIN (Tech)
 4518                    TELECOM                                            ZK4-ARIN (Tech)
 4519                    MAAS                                               BB5114-ARIN (Tech)
 4520                    AQUA                                               
 4521                    MIRACLE                                            MP1946-ARIN (Tech)
 4522                    COMPUCALL                                          RG239-ARIN (Tech)
 4523                    AS4523                                             SJS87-ARIN (Tech)
 4524                    RIPE-ASNBLOCK-4524                                 
 4525                    POPPE                                              LC82-ARIN (Tech)
 4526                    ARMY-FMO                                           EE27-ARIN (Tech)
 4527                    RCN-AS-1                                           ZR40-ARIN (Tech), RAD75-ARIN (Abuse)
 4528                    APNIC-4528                                         AWC12-ARIN (Tech)
 4529                    RIS-NET                                            PW85-ARIN (Tech)
 4530                    RCN-AS5                                            ZR40-ARIN (Tech), RAD75-ARIN (Abuse)
 4531                    MEDWEB                                             PK33-ARIN (Tech)
 4532                    WARWICK                                            KS617-ARIN (Tech), NETWO1445-ARIN (Abuse)
 4533                    GLOBESAT                                           BF139-ARIN (Tech)
 4534                    IXA-ASN                                            NM75-ARIN (Tech)
 4535                    LACNIC-4535                                        LACNIC-ARIN (Tech)
 4536                    PEARLY-GATE                                        MIL-HSTMST-ARIN (Tech)
 4537                    BAILEYS-GWS1                                       DC163-ARIN (Tech), MIL-HSTMST-ARIN (Tech)
 4538                    APNIC-4538                                         AWC12-ARIN (Tech)
 4541                    IWORK                                              DC413-ARIN (Tech)
 4542                    RRNET-AS                                           CL54-ARIN (Tech)
 4543                    TIMESNET                                           ZT84-ARIN (Tech), GSE13-ARIN (Tech)
 4544                    CONXION-A                                          CO-ORG-ARIN (Tech)
 4545                    SONNET-ASN                                         BC221-ARIN (Tech)
 4546                    MCGRAW-AS                                          HM114-ARIN (Tech)
 4547                    BLS-AS                                             BI14-ARIN (Tech), PB974-ARIN (Tech)
 4548                    AG                                                 PL159-ARIN (Tech)
 4549                    ESPN-AS                                            DS1189-ARIN (Tech)
 4550                    COGENT-ADOT-1                                      COGEN-ARIN (Abuse), IPALL-ARIN (Tech)
 4551                    EP0-BLK-ASNBLOCK                                   WM110-ARIN (Tech)
 4552                    EP0-BLK-ASNBLOCK-2                                 WM110-ARIN (Tech)
 4553                    NAP-MAEWEST                                        ZM8-ARIN (Tech), NETWO26-ARIN (Abuse), MERIT-ARIN (Tech)
 4554                    EP0-BLK-ASNBLOCK-4                                 WM110-ARIN (Tech)
 4555                    EP0-BLK-ASNBLOCK-5                                 WM110-ARIN (Tech)
 4556                    EP0-BLK-ASNBLOCK-6                                 WM110-ARIN (Tech)
 4557                    EP0-BLK-ASNBLOCK-7                                 WM110-ARIN (Tech)
 4558                    EP0-BLK-ASNBLOCK-8                                 WM110-ARIN (Tech)
 4559                    EP0-BLK-ASNBLOCK-9                                 WM110-ARIN (Tech)
 4560                    EP0-BLK-ASNBLOCK-10                                WM110-ARIN (Tech)
 4561                    EP0-BLK-ASNBLOCK-11                                WM110-ARIN (Tech)
 4562                    INTEX                                              MW320-ARIN (Tech)
 4564                    NIPRNET                                            HS143-ARIN (Tech), MIL-HSTMST-ARIN (Tech)
 4565                    MEGAPATH2-US                                       ZM125-ARIN (Abuse), MTS20-ARIN (Tech)
 4566                    3COMMW                                             ZG18-ARIN (Tech)
 4567                    DEC-ENET                                           NAR-ARIN (Abuse), AI2-ORG-ARIN (Tech)
 4568                    WALLACE-NET                                        MC457-ARIN (Tech)
 4569                    ASHTON-NET1                                        RSA2-ARIN (Tech)
 4570                    IH2000                                             JW891-ARIN (Tech)
 4571                    AFRINIC-ASNBLOCK-4571                              GENER11-ARIN (Abuse)
 4572                    JAXINTER                                           SM413-ARIN (Tech)
 4573                    SEQUEL2                                            JG451-ARIN (Tech)
 4574                    NETDOOR                                            MM757-ARIN (Tech), NAD50-ARIN (Abuse), II13-ARIN (Tech)
 4575                    CYBERHOUSE                                         MT224-ARIN (Tech)
 4578                    NETCENTER                                          TT165-ARIN (Tech)
 4580                    CORSAIR                                            DCK2-ARIN (Tech)
 4581                    SOCKET                                             JD1522-ARIN (Tech), DNSAD39-ARIN (Tech)
 4582                    REALLINK                                           JF309-ARIN (Tech)
 4583                    WESTPUB-A                                          DN19-ARIN (Tech), NCC7-ARIN (Tech)
 4584                    PTI-NET                                            MP306-ARIN (Tech), JENSW-ARIN (Tech)
 4585                    NAVISOFT                                           JC158-ARIN (Tech)
 4586                    TX-TNRIS                                           RJ140-ARIN (Tech)
 4587                    ONEWORLD2                                          OW-ORG-ARIN (Tech)
 4588-4589               RIPE-ASNBLOCK-4588                                 
 4590                    MARCAM-GW                                          WJL-ARIN (Tech)
 4591                    SYRANET-GW                                         WJL-ARIN (Tech)
 4592                    OPENMARKET-NET                                     MN60-ORG-ARIN (Tech)
 4593                    RELIANCE                                           RS598-ARIN (Tech), IPMAS1-ARIN (Tech)
 4594                    APNIC-4594                                         AWC12-ARIN (Tech)
 4595                    ICNET                                              IU3-ARIN (Tech), IXU1-ARIN (Tech)
 4596                    MONGTOMERY                                         SM302-ARIN (Tech), ABUSE608-ARIN (Abuse), ZB29-ARIN (Tech)
 4597                    MILLIPORE                                          PR198-ARIN (Tech)
 4598                    HRB                                                GSM1-ARIN (Tech)
 4599                    MINNNET-NET                                        JN99-ARIN (Tech)
 4600                    UO-TRANSIT                                         DMM65-ARIN (Tech)
 4601                    PAGESAT                                            NWR1-ARIN (Tech), MKL46-ARIN (Tech)
 4602                    NAVO                                               RY41-ARIN (Tech), MIL-HSTMST-ARIN (Tech)
 4603                    QUANTA                                             JJZ1-ARIN (Abuse)
 4604                    HOUSTON-ISD                                        BE95-ARIN (Tech)
 4605                    APNIC-4605                                         AWC12-ARIN (Tech)
 4606                    HCI                                                RWH4-ARIN (Tech)
 4607                    NORAD-SPACE                                        JAMES23-ARIN (Tech), TIMAM1-ARIN (Tech)
 4608-4864               APNIC-AS-BLOCK                                     AWC12-ARIN (Tech)
 4908                    AS-CONCENTRIC                                      NETWO1900-ARIN (Abuse), IPADM364-ARIN (Tech), XCNV-ARIN (Abuse), XCIA-ARIN (Tech)
 4909                    FCDNA                                              KBT2-ARIN (Tech)
 4910                    SPRINTNET-NC                                       TS402-ARIN (Tech)
 4911                    QWEST-AS-4911                                      QIA2-ARIN (Abuse), QIA-ARIN (Tech)
 4913                    NET-CPRK                                           INA11-ARIN (Tech)
 4914                    LACNIC-4914                                        LACNIC-ARIN (Tech)
 4915                    TRANE-UPG                                          DNB5-ARIN (Tech)
 4916                    HQINSCOM                                           GG96-ARIN (Tech)
 4917                    AMDOCS-AS                                          RS590-ARIN (Tech)
 4918                    THEPOINT-NET                                       JAC4-ARIN (Tech)
 4919                    CONSOLIDATED                                       TDL-ARIN (Tech)
 4920                    CYBERPORTS                                         WM5-ARIN (Tech)
 4921                    EX-SV-GW5                                          SON4-ARIN (Tech)
 4922                    GLOBALCOM                                          WP35-ARIN (Tech), JAM197-ARIN (Tech)
 4923                    MCIX                                               DH303-ARIN (Tech)
 4924                    NIIA-NET                                           SP193-ARIN (Tech)
 4925                    FIRSTDATA                                          LW78-ARIN (Tech)
 4926                    LACNIC-4926                                        LACNIC-ARIN (Tech)
 4927                    ASN-SBCNET                                         FD69-ARIN (Tech)
 4928                    VAIS                                               CR175-ARIN (Tech)
 4929                    BENCHMARK                                          GW170-ARIN (Tech)
 4930                    DMG1                                               VD25-ARIN (Tech)
 4931                    INTERSRV2                                          RY31-ARIN (Tech)
 4932                    I3                                                 LB187-ARIN (Tech)
 4933                    LOGICAL3                                           LOGIC-ARIN (Abuse), DL160-ARIN (Tech), HOS301-ORG-ARIN (Tech)
 4934                    LANIER-WW                                          KS95-ARIN (Tech)
